prompt,response,quality_rating,criteria,human_rater
Explain dynamic programming with the Fibonacci sequence example,"DP applies when:
1. Overlapping subproblems: same subproblem computed multiple times
2. Optimal substructure: optimal solution built from optimal sub-solutions

Other DP problems:
- Longest Common Subsequence
- 0/1 Knapsack
- Coin Change (min coins)
- Edit Distance
- Longest Increasing Subsequence",10,Is dynamic programming explained correctly with memoization and tabulation?,carol
Explain the Observer design pattern with a Python example,Use Observer to decouple components that need to react to state changes.,5,Is the Observer pattern implemented correctly?,eve
What is the JavaScript event loop and how does it work?,"Why this matters:
async function getUser() {
  const user = await fetch('/api/user');  // suspends here
  // resumed as microtask when fetch resolves
  return user.json();
}

Starving the event loop:
for (let i = 0; i < 1e9; i++) {}  // blocks everything!
// Use setTimeout/requestIdleCallback to yield",9,Is the event loop explained correctly with microtasks and macrotasks?,david
How do you handle environment variables and secrets in a Python application?,".gitignore:
.env
.env.local
*.key
secrets/

git-secrets pre-commit hook:
git secrets --install
git secrets --register-aws  # scans for AWS credentials

Secret scanning: GitHub/GitLab scan committed code for known secret patterns.",10,Is the secrets management guidance correct and secure?,carol
What is a database view and when should you use one?,CREATE VIEW myview AS SELECT ... — then query it like a table.,5,Is the view concept explained correctly?,alice
"What is the difference between let, const, and var in JavaScript?","Hoisting differences:
var: hoisted and initialized to undefined
let/const: hoisted but in TDZ (not initialized)

console.log(a); // undefined (var hoisted)
console.log(b); // ReferenceError (TDZ)
var a = 1;
let b = 2;",8,Is the scoping and mutability distinction correct?,alice
Explain database normalization and the first three normal forms,Normalization splits data into multiple related tables to avoid storing the same information twice.,4,Is normalization explained correctly?,carol
How would you design a URL shortener like bit.ly?,Store all URLs in memory for fast access.,2,Is the URL shortener design complete and sensible?,bob
Write a SQL query to find the top 5 customers by total order value,SELECT customer_id FROM orders WHERE amount > 100;,2,Is the SQL syntactically correct and logically sound?,bob
What is database sharding and when do you need it?,"Resharding: as data grows, need more shards.
Consistent hashing minimizes data movement when adding shards.
Blue-green resharding: migrate data to new sharding scheme, then cut over.

MongoDB, Cassandra, DynamoDB have built-in sharding.
MySQL/PostgreSQL: manual or via middleware (Vitess).",9,Is sharding explained correctly with appropriate caveats?,david
What is the CAP theorem in distributed systems?,"CAP theorem says you can only have two of Consistency, Availability, and Partition tolerance in a distributed system.",5,Is the CAP theorem explained correctly?,bob
Explain async/await in Python and when to use asyncio,async functions run in parallel on multiple CPU cores.,3,Is async/await and asyncio explained correctly?,carol
Design a rate limiting system for an API,"Distributed rate limiting:
Single Redis (works to millions QPS with Redis Cluster).
Local cache + async sync to Redis reduces latency.

Edge rate limiting:
Cloudflare Workers, AWS WAF rate rules.
Rate limit at CDN level before traffic hits origin.

Fail open vs fail closed:
Redis down: allow requests (fail open) to avoid outage, or block (fail closed) for security.",8,Is the rate limiting design practical and complete?,bob
What is the difference between git fetch and git pull?,"git pull with fast-forward only:
git pull --ff-only
# Fails if local has diverged from remote — prevents unexpected merges
# Good safety setting: git config pull.ff only",9,Is the fetch vs pull distinction explained correctly?,eve
Explain the difference between a Docker image and a container,"Key commands:
docker image ls        # list images
docker ps              # running containers
docker ps -a           # all containers (including stopped)
docker run -d nginx    # run container in background
docker exec -it id sh  # shell into running container
docker rm id           # remove container
docker rmi image       # remove image",10,Is the image vs container distinction clearly and accurately explained?,david
Explain Python generators and when to use them,Generators use yield instead of return. They are memory efficient for large datasets.,7,Is the generator concept correct with a practical use case?,carol
Explain CI/CD and the difference between continuous integration and continuous deployment,"GitHub Actions example:
name: CI
on: [push, pull_request]
jobs:
  test:
    runs-on: ubuntu-latest
    steps:
    - uses: actions/checkout@v3
    - uses: actions/setup-python@v4
      with: {python-version: '3.11'}
    - run: pip install -r requirements.txt
    - run: pytest --cov
    - run: coverage report --fail-under=90",9,Is CI/CD explained accurately?,alice
Explain Python's __dunder__ (magic) methods,"Dunder (double underscore) methods define how objects respond to built-in operations.

class Vector:
    def __init__(self, x, y):
        self.x, self.y = x, y
    def __repr__(self):
        return f'Vector({self.x}, {self.y})'
    def __add__(self, other):
        return Vector(self.x + other.x, self.y + other.y)
    def __len__(self):
        return 2
    def __getitem__(self, i):
        return [self.x, self.y][i]

v = Vector(1, 2)
print(v)     # calls __repr__
v + Vector(3, 4)  # calls __add__",8,Are Python dunder methods explained correctly with practical examples?,carol
What is HTTPS and how does TLS work?,"HTTPS = HTTP over TLS (Transport Layer Security).

TLS 1.3 handshake (1 RTT):
1. Client Hello: TLS version, supported ciphers, client random
2. Server Hello: chosen cipher, server cert, server random, signature
3. Client verifies cert against trusted CAs
4. Client and server derive session keys from shared secret
5. Encrypted communication begins

Protects: confidentiality (encryption), integrity (MAC), authenticity (certificates).",10,Is HTTPS/TLS explained correctly?,carol
Explain SQL injection and how to prevent it,SQL injection only affects MySQL databases.,1,Is the SQL injection explanation correct with concrete prevention measures?,david
How does Python handle imports and what is the module system?,Use import module or from module import name. Packages have __init__.py files.,5,Is Python's import system explained correctly?,eve
Explain OAuth 2.0 and how it enables third-party authorization,"OAuth 2.0 allows a user to grant a third-party app access to their resources WITHOUT sharing credentials.

Authorization Code Flow (most secure):
1. User clicks 'Login with Google'
2. App redirects to Google with client_id, scope, redirect_uri
3. User logs into Google, grants permissions
4. Google redirects back with authorization code
5. App exchanges code for access token (server-to-server)
6. App uses access token to call Google APIs

Key: credentials never leave Google. App only gets a scoped token.",10,Is the OAuth 2.0 flow explained correctly?,david
How does Python handle imports and what is the module system?,Modules are the same as classes in Python.,2,Is Python's import system explained correctly?,david
Write a Python function to check if a string is a palindrome,"def is_palindrome(s):
    s = s.lower()
    return all(s[i] == s[~i] for i in range(len(s) // 2))",8,Is the implementation correct and efficient?,carol
Write a SQL query to find the top 5 customers by total order value,"SELECT c.customer_id, c.name, SUM(o.total_amount) AS total_value
FROM customers c
JOIN orders o ON c.customer_id = o.customer_id
GROUP BY c.customer_id, c.name
ORDER BY total_value DESC
LIMIT 5;",8,Is the SQL syntactically correct and logically sound?,eve
Explain dynamic programming with the Fibonacci sequence example,Dynamic programming is a programming language used for scientific computing.,3,Is dynamic programming explained correctly with memoization and tabulation?,bob
Explain CSS flexbox and when to use it vs CSS grid,"Combined usage (common pattern):
/* Grid for overall layout */
.page {
  display: grid;
  grid-template-areas:
    'header header'
    'sidebar main'
    'footer footer';
}
/* Flexbox inside components */
.header {
  display: flex;
  justify-content: space-between;
  align-items: center;
}",9,Is flexbox vs grid explained correctly?,eve
Explain Python's dataclasses and when to use them,Dataclasses are for storing data in databases.,1,Are dataclasses explained correctly with practical comparison to plain classes?,david
What is a confusion matrix and what metrics can you derive from it?,Accuracy is always the best metric regardless of class imbalance.,1,Are the confusion matrix and derived metrics explained correctly?,david
Explain Python's __dunder__ (magic) methods,"String representation:
__repr__: unambiguous, for developers — eval(repr(obj)) should recreate obj
__str__: human-readable, for users — called by print()
__format__: custom format spec — f'{obj:.2f}'

Rule: always define __repr__. Define __str__ only if different from __repr__ is useful.",10,Are Python dunder methods explained correctly with practical examples?,eve
What is infrastructure as code and why is it important?,"IaC makes infrastructure reproducible, version controlled, and automated.",7,Is IaC explained correctly with key benefits?,carol
Implement a function to check if parentheses are balanced,"# Extended version for code files
def check_brackets(text, ignore_strings=True):
    stack = []
    pairs = {')': '(', '}': '{', ']': '['}
    in_string = False
    for i, c in enumerate(text):
        if ignore_strings and c in '""\'':
            in_string = not in_string
        if not in_string:
            if c in '({[': stack.append((c, i))
            elif c in ')}]':
                if not stack or stack[-1][0] != pairs[c]:
                    return False, i
                stack.pop()
    if stack:
        return False, stack[-1][1]
    return True, -1",10,Is the parentheses checker implemented correctly using a stack?,alice
Explain Python list comprehensions with an example,You use them with the map() function to transform lists.,1,Is the explanation accurate and does the example work?,david
What is connection pooling and why does it matter for database performance?,Connection pooling reuses database connections instead of creating a new one for each request.,6,Is connection pooling explained correctly with practical guidance?,alice
What are database transactions and why do they matter?,"Savepoints allow partial rollback:
BEGIN;
INSERT INTO orders ...;
SAVEPOINT after_order;
INSERT INTO items ...;   -- fails
ROLLBACK TO SAVEPOINT after_order;
-- order saved, items not
COMMIT;",8,Is ACID explained correctly with practical examples?,alice
What is a binary search tree and what are its time complexities?,"In a BST, left < parent < right. You can search efficiently by going left or right at each node.",6,Is the BST explained correctly with accurate time complexity?,carol
What is the difference between supervised and unsupervised learning?,Unsupervised learning is more accurate because it does not need human input.,3,Is the distinction clear with good examples of each?,alice
Write an async JavaScript function to fetch data from an API,"async function get(url) {
  const response = await fetch(url);
  const data = await response.json();
  return data;
}",4,Is the async/await usage correct and does it handle errors?,alice
Explain Big O notation and why it matters,"Big O describes how an algorithm's time or space grows as input size n grows.
Ignores constants and lower-order terms — describes worst-case asymptotic behavior.

Common complexities (best to worst):
O(1)      — constant: array index lookup
O(log n)  — logarithmic: binary search
O(n)      — linear: loop through array
O(n log n)— linearithmic: merge sort, heap sort
O(n²)     — quadratic: nested loops (bubble sort)
O(2^n)    — exponential: recursive Fibonacci (naive)
O(n!)     — factorial: all permutations",10,Is Big O explained correctly with common examples?,eve
What is the JavaScript event loop and how does it work?,JavaScript is single-threaded. The event loop handles async operations by queuing callbacks.,6,Is the event loop explained correctly with microtasks and macrotasks?,bob
Explain the difference between a Docker image and a container,An image is a type of container that has not been started yet.,1,Is the image vs container distinction clearly and accurately explained?,david
What are the main HTTP methods and when should each be used?,"GET=read, POST=create, PUT=update, DELETE=delete. PATCH is for partial updates.",6,Are the HTTP methods described accurately with correct use cases?,alice
Design a rate limiting system for an API,"Redis token bucket implementation:
import time

def is_allowed(user_id, limit=100, window=60):
    key = f'rate:{user_id}'
    now = time.time()
    pipe = redis.pipeline()
    pipe.zadd(key, {now: now})           # add current request
    pipe.zremrangebyscore(key, 0, now - window)  # remove old
    pipe.zcard(key)                       # count in window
    pipe.expire(key, window)
    _, _, count, _ = pipe.execute()
    return count <= limit

# 429 Too Many Requests if not allowed",10,Is the rate limiting design practical and complete?,eve
Explain microservices vs monolithic architecture,Monolithic applications cannot be scaled at all.,3,Is the comparison accurate with honest tradeoffs?,carol
Explain JavaScript closures with an example,"Closures in loops — common gotcha:
// Bug: all closures share the same 'i'
for (var i = 0; i < 3; i++) {
  setTimeout(() => console.log(i), 0); // prints 3,3,3
}

// Fix with let (block scope):
for (let i = 0; i < 3; i++) {
  setTimeout(() => console.log(i), 0); // prints 0,1,2
}",10,Is the closure concept explained correctly with a working example?,carol
Explain microservices vs monolithic architecture,Monolithic means all code in one application. Microservices splits the app into small independent services.,4,Is the comparison accurate with honest tradeoffs?,alice
Explain Python's property decorator,"Properties allow controlled access to attributes. The getter is called on read, setter on write.",6,Is the property decorator explained correctly with getter/setter/deleter?,carol
Write a JavaScript function to debounce another function,"function debounce(fn) {
  setTimeout(fn, 1000);
}",1,Is the debounce implementation correct?,carol
What are React hooks rules and why do they exist?,"Custom hooks must start with 'use' — convention that allows lint tools to check rules:
function useLocalStorage(key, initialValue) {
  const [value, setValue] = useState(() => {
    const stored = localStorage.getItem(key);
    return stored ? JSON.parse(stored) : initialValue;
  });
  // ...
  return [value, setValue];
}",9,Are the rules of hooks explained correctly with the underlying reason?,carol
What is a binary search tree and what are its time complexities?,"Common BST problems:
- Validate BST: inorder traversal should be strictly increasing
- Lowest common ancestor
- Kth smallest element
- Serialize/deserialize

Python heapq for priority queue (min-heap):
import heapq
heap = []
heapq.heappush(heap, 3)
heapq.heappop(heap)  # O(log n)",10,Is the BST explained correctly with accurate time complexity?,carol
Explain OAuth 2.0 and how it enables third-party authorization,"Token types:
Access token: short-lived (1hr), used to call APIs
Refresh token: long-lived, used to get new access tokens without re-login
ID token (OIDC): JWT containing user identity

Scopes define what the app can do:
scope=read:user,repo — GitHub read access to profile and repos",9,Is the OAuth 2.0 flow explained correctly?,eve
"What is the difference between let, const, and var in JavaScript?","Use const for values that don't change, let for values that do, and avoid var.",7,Is the scoping and mutability distinction correct?,alice
Design a rate limiting system for an API,Track requests per user in Redis with a counter and TTL. Return 429 when limit is exceeded.,4,Is the rate limiting design practical and complete?,alice
Explain how a content delivery network (CDN) works,CDNs are expensive and only necessary for very large companies.,2,Is the CDN explanation correct and practical?,eve
What is transfer learning and why is it so powerful?,Transfer learning uses a model trained on one task as a starting point for another task.,7,Is transfer learning explained correctly?,carol
Explain blue-green deployment and canary deployment,Both blue-green and canary require manual server configuration.,1,Are the deployment strategies explained correctly?,carol
Write a Python function to reverse a string,"def reverse_string(s):
    return s[::-1]",10,Is the response correct and Pythonic?,alice
What is cache invalidation and what strategies exist?,Write-through caches update the cache on every write. Cache-aside checks cache first then database.,7,Are cache invalidation strategies explained correctly?,david
Explain SQL injection and how to prevent it,Validate user input and use prepared statements instead of concatenating strings into SQL queries.,4,Is the SQL injection explanation correct with concrete prevention measures?,bob
Explain Python's dataclasses and when to use them,"dataclasses auto-generate __init__, __repr__, __eq__ based on field annotations.

from dataclasses import dataclass, field

@dataclass
class User:
    id: int
    name: str
    email: str
    roles: list = field(default_factory=list)

# vs writing manually:
class User:
    def __init__(self, id, name, email, roles=None):
        self.id = id; self.name = name; self.email = email
        self.roles = roles or []
    def __repr__(self): ...
    def __eq__(self, other): ...",8,Are dataclasses explained correctly with practical comparison to plain classes?,bob
"Explain Kubernetes Deployments, Services, and Ingress","Service: stable endpoint for a set of Pods (Pods come and go, Service IP is stable).
Types:
- ClusterIP: internal only (default)
- NodePort: expose on every node's IP:port
- LoadBalancer: cloud LB (ELB, etc.)

Ingress: HTTP router — routes by host/path to Services.
apiVersion: networking.k8s.io/v1
kind: Ingress
spec:
  rules:
  - host: api.example.com
    http:
      paths:
      - path: /
        backend:
          service: {name: api-svc, port: {number: 80}}",8,Are these three core Kubernetes resources explained correctly?,david
What does the chmod command do and explain common permission modes,"chmod 644 for files, chmod 755 for directories is a common setup.",5,Is the permission system correctly explained?,david
What are pytest fixtures and how do you use them?,"Fixture composition:
@pytest.fixture
def user(db):
    u = User(name='Alice', email='a@b.com')
    db.add(u)
    db.commit()
    return u

def test_user_profile(user):
    assert user.name == 'Alice'

# Fixtures can use other fixtures in their arguments",9,Are pytest fixtures explained correctly with scope and yielding?,alice
How would you design a RESTful API for a blog system?,"Authentication:
- POST /auth/login → JWT token
- POST /auth/refresh → new access token
- DELETE /auth/logout → invalidate refresh token

Authorization:
- Posts: author and admin can edit/delete
- Comments: author, post author, admin
- Use 403 Forbidden (not 401) when authenticated but not authorized",8,Is the API design idiomatic REST with correct resource modeling?,carol
Write a Python context manager for database transactions,"SQLAlchemy session context manager:
from sqlalchemy.orm import Session

def get_session(engine):
    with Session(engine) as session:
        with session.begin():  # auto-commit/rollback
            yield session

# Or using begin():
with session.begin():
    session.add(obj)  # auto-committed on exit",9,Is the context manager implemented correctly?,bob
Explain async/await in Python and when to use asyncio,Use asyncio for all Python programs to make them faster.,1,Is async/await and asyncio explained correctly?,david
What is CSS specificity and how is it calculated?,"BEM methodology avoids specificity issues:
.block__element--modifier { }  /* all single class selectors */
/* Every rule has equal specificity (0,0,1,0) */
/* No need for !important */

CSS-in-JS and CSS Modules scope styles to component → specificity wars avoided.",8,Is CSS specificity explained correctly?,bob
What is Python's GIL and how does it affect multithreading?,Just use more threads to get around the GIL limitation.,2,Is the GIL explained correctly with practical implications?,carol
Explain WebSockets and when to use them over HTTP,"Scaling WebSockets:
Stateful — each server maintains open connections.
Horizontal scaling requires sticky sessions or pub/sub relay.

Pattern: WebSocket server publishes to Redis Pub/Sub → all WS servers receive → push to their clients.
Managed: Pusher, Ably, AWS API Gateway WebSocket APIs abstract this away.",9,Is the WebSocket explanation correct with appropriate use cases?,carol
Write a JavaScript function to deep clone an object,JSON.parse(JSON.stringify(obj)) deep clones most objects but doesn't work for functions or undefined.,6,Is the deep clone implementation correct and complete?,eve
"Explain Kubernetes Deployments, Services, and Ingress","Service selects Pods via label selectors:
Service selector: app=myapp → matches all Pods with app=myapp label
kube-proxy creates iptables rules to route Service IP to Pod IPs.

Ingress controller (nginx, traefik, AWS ALB) must be installed separately.
Ingress provides: TLS termination, path-based routing, host-based routing.",10,Are these three core Kubernetes resources explained correctly?,david
How does Python handle imports and what is the module system?,"Python's import system:
1. Check sys.modules cache (already imported?)
2. Find module (sys.path search)
3. Load and execute module code
4. Cache in sys.modules

import math        # import module
from os import path  # import name from module
from . import utils  # relative import (within package)

sys.path controls where Python looks:
import sys
sys.path.insert(0, '/custom/path')",10,Is Python's import system explained correctly?,david
What is GraphQL and how does it differ from REST?,GraphQL lets clients request exactly the data they need in one query. REST has fixed endpoints that may return more or less data than needed.,4,Is the GraphQL vs REST distinction explained correctly?,bob
What is dependency injection and why is it useful?,"Inversion of Control (IoC): high-level modules don't depend on low-level modules; both depend on abstractions.

# Abstract interface
class EmailService(ABC):
    @abstractmethod
    def send(self, to, subject, body): ...

# Implementations (low-level)
class SMTPEmailService(EmailService): ...
class SendGridEmailService(EmailService): ...

# High-level module depends on abstraction
class UserService:
    def __init__(self, mailer: EmailService): ...",8,Is dependency injection explained correctly with practical benefits?,eve
What are React hooks rules and why do they exist?,React tracks hooks by order so you must call them the same way every render.,4,Are the rules of hooks explained correctly with the underlying reason?,david
What is a binary search tree and what are its time complexities?,Binary trees always have O(log n) complexity regardless of balance.,1,Is the BST explained correctly with accurate time complexity?,david
Explain the SOLID principles in software design,"L — Liskov Substitution: subclasses must be usable in place of parent without breaking behavior.

violation:
class Rectangle:
    def set_width(self, w): self.width = w
class Square(Rectangle):
    def set_width(self, w): self.width = self.height = w  # breaks rectangle invariant

I — Interface Segregation: many specific interfaces > one general interface.
clients shouldn't depend on methods they don't use.",10,Are the SOLID principles explained correctly with examples?,carol
Explain OAuth 2.0 and how it enables third-party authorization,OAuth 2.0 separates authentication from authorization using tokens.,5,Is the OAuth 2.0 flow explained correctly?,carol
"What is the difference between let, const, and var in JavaScript?",They are all the same but const is for constants.,3,Is the scoping and mutability distinction correct?,david
Write a JavaScript function to deep clone an object,"// Practical comparison:
const orig = { a: 1, nested: { b: 2 } };

// Shallow clone - nested is shared reference!
const shallow = { ...orig };
shallow.nested.b = 99;
console.log(orig.nested.b);  // 99 ← mutated original!

// Deep clone - independent copies
const deep = structuredClone(orig);
deep.nested.b = 99;
console.log(orig.nested.b);  // 2 ← original unchanged",9,Is the deep clone implementation correct and complete?,eve
How would you design a RESTful API for a blog system?,"Create endpoints for posts, comments, and users. Use GET for reading and POST for creating.",4,Is the API design idiomatic REST with correct resource modeling?,eve
Explain Python generators and when to use them,"def generator():
    return [x for x in range(10)]",2,Is the generator concept correct with a practical use case?,david
Explain CSS flexbox and when to use it vs CSS grid,Flexbox is old and should be replaced with grid in all cases.,1,Is flexbox vs grid explained correctly?,carol
How does Python's memory management and garbage collection work?,"Memory profiling:
memory_profiler: line-by-line memory usage
tracemalloc: trace allocations

# Common memory issues:
# 1. Large lists kept in memory unnecessarily
# 2. Closures capturing large outer scope
# 3. Mutable default arguments
def bad(lst=[]):  # shared across calls!
    lst.append(1)
def good(lst=None):
    if lst is None: lst = []",9,Is Python's memory management explained correctly?,alice
How do you version a REST API and what are the tradeoffs?,Version when making breaking changes. Support both versions during the transition period.,5,Are API versioning strategies explained correctly?,bob
Explain Python's __dunder__ (magic) methods,"__init__ initializes, __repr__ shows string representation, __add__ handles the + operator.",5,Are Python dunder methods explained correctly with practical examples?,bob
Explain dynamic programming with the Fibonacci sequence example,"Tabulation (bottom-up DP):
def fib(n):
    if n <= 1: return n
    dp = [0] * (n+1)
    dp[1] = 1
    for i in range(2, n+1):
        dp[i] = dp[i-1] + dp[i-2]
    return dp[n]  # O(n) time, O(n) space

# Space-optimized (O(1) space):
def fib(n):
    a, b = 0, 1
    for _ in range(n):
        a, b = b, a + b
    return a",10,Is dynamic programming explained correctly with memoization and tabulation?,eve
Explain OAuth 2.0 and how it enables third-party authorization,OAuth 2.0 lets users authorize apps to access their data without sharing passwords. It uses access tokens.,4,Is the OAuth 2.0 flow explained correctly?,eve
What is the difference between git fetch and git pull?,git fetch is for cloning repositories for the first time.,2,Is the fetch vs pull distinction explained correctly?,eve
"What is the difference between let, const, and var in JavaScript?","const obj = { a: 1 };
obj.a = 2;    // OK — property change
obj = {};     // TypeError — reassignment

Rule: prefer const by default, use let when you need reassignment, avoid var entirely in modern JS.

Temporal Dead Zone: let/const are hoisted but accessing before declaration throws ReferenceError.",9,Is the scoping and mutability distinction correct?,carol
Explain OAuth 2.0 and how it enables third-party authorization,"The user logs in to the provider, grants permissions, and the app gets a token to access the API.",4,Is the OAuth 2.0 flow explained correctly?,bob
How would you design a URL shortener like bit.ly?,Store a mapping of short codes to long URLs in a database. Use a random string as the short code.,4,Is the URL shortener design complete and sensible?,bob
What is a neural network and how does it learn?,Neural networks learn by memorizing all the training examples.,2,Is the neural network and backpropagation explanation accurate?,david
"What is the difference between IaaS, PaaS, and SaaS?","When to choose:
IaaS: need full control, custom OS config, specific hardware, compliance requirements
PaaS: just want to deploy code, auto-scaling, managed DBs (RDS, Cloud SQL)
SaaS: off-the-shelf needs, want zero maintenance

Hybrid common: SaaS for email, PaaS for your app, IaaS for legacy systems",10,Are the three cloud service models explained accurately?,alice
Explain the difference between clustered and non-clustered indexes,"Covering index: non-clustered index that includes all columns needed by a query — eliminates the key lookup.
Good for: frequently executed queries that access the same small set of columns.",8,Is the index type distinction accurate?,eve
