conversation_id,model_a,model_b,winner,language,timestamp,tokens_in,tokens_out,latency_ms,cost_usd
lmsys_0000065,gpt-4-turbo,gpt-3.5-turbo,model_a,Chinese,2026-05-17T14:31:00.238241Z,937,821,630,0.001965
lmsys_0000066,palm-2,mistral-large,tie,French,2026-05-27T11:19:06.238241Z,273,189,586,0.001808
lmsys_0000067,mistral-large,palm-2,tie,French,2026-05-16T19:21:19.238241Z,1231,988,555,0.00308
lmsys_0000068,gpt-4,mistral-large,model_a,English,2026-05-20T07:12:25.238241Z,406,1125,459,0.009297
lmsys_0000069,gpt-4,gemini-pro,model_a,Chinese,2026-05-17T22:00:45.238241Z,805,1208,369,0.004614
lmsys_0000070,mistral-large,claude-3-5-sonnet,tie,Spanish,2026-05-30T08:55:58.238241Z,1597,371,726,2.9e-05
lmsys_0000071,gpt-4,gpt-4-turbo,model_b,French,2026-05-13T04:00:32.238241Z,1748,337,611,0.003386
lmsys_0000072,mistral-large,gpt-3.5-turbo,model_a,Spanish,2026-06-07T20:34:46.238241Z,1817,391,675,4.1e-05
lmsys_0000073,llama-2-70b,gemini-pro,model_a,Chinese,2026-06-01T20:31:11.238241Z,1792,652,1665,8.2e-05
lmsys_0000074,davinci-003,gpt-3.5-turbo,model_a,Chinese,2026-06-09T17:38:47.238241Z,527,1230,516,0.001783
lmsys_0000075,claude-3-5-sonnet,gemini-pro,tie,French,2026-05-28T08:38:23.238241Z,1462,983,402,0.001837
lmsys_0000076,llama-2-70b,claude-3-5-sonnet,model_b,French,2026-05-13T19:14:07.238241Z,46,79,396,0.001527
lmsys_0000077,davinci-003,claude-3-opus,tie,French,2026-05-13T11:07:20.238241Z,1350,973,305,0.001704
lmsys_0000078,gpt-4-turbo,gemini-pro,tie,Spanish,2026-05-15T17:55:24.238241Z,602,1341,377,0.002711
lmsys_0000079,gemini-pro,palm-2,model_b,Japanese,2026-05-14T13:58:24.238241Z,224,1305,511,0.003048
lmsys_0000080,claude-3-opus,gemini-pro,model_a,English,2026-05-31T02:34:06.238241Z,116,396,621,0.003611
lmsys_0000081,gpt-4-turbo,palm-2,tie,French,2026-06-10T04:15:16.238241Z,546,1108,447,0.003288
lmsys_0000082,gpt-4-turbo,llama-2-70b,tie,German,2026-05-15T20:49:04.238241Z,1322,795,746,4.8e-05
lmsys_0000083,gpt-4,davinci-003,tie,German,2026-06-09T02:37:36.238241Z,71,716,499,0.002414
lmsys_0000084,palm-2,gemini-pro,model_a,Spanish,2026-06-06T21:01:12.238241Z,727,479,574,0.002902
lmsys_0000085,mistral-large,llama-2-70b,model_a,French,2026-05-27T02:23:53.238241Z,1443,866,1085,8.5e-05
lmsys_0000086,gpt-4-turbo,davinci-003,tie,Chinese,2026-06-01T22:37:28.238241Z,878,884,554,0.002469
lmsys_0000087,gpt-3.5-turbo,davinci-003,model_b,Chinese,2026-05-13T04:30:22.238241Z,1373,1207,434,0.00137
lmsys_0000088,palm-2,gpt-4,model_b,Japanese,2026-05-25T16:32:22.238241Z,33,51,503,0.006048
lmsys_0000089,palm-2,claude-3-opus,tie,Chinese,2026-05-13T16:07:53.238241Z,1715,966,747,0.002138
lmsys_0000090,claude-3-opus,claude-3-5-sonnet,model_a,Chinese,2026-05-17T08:08:04.238241Z,1430,278,653,0.005897
lmsys_0000091,claude-3-5-sonnet,gpt-4,tie,French,2026-05-13T22:48:56.238241Z,167,81,490,0.004171
lmsys_0000092,llama-2-70b,claude-3-5-sonnet,tie,French,2026-05-26T16:29:06.238241Z,1173,952,731,0.001137
lmsys_0000093,palm-2,gpt-4,tie,German,2026-06-07T20:33:34.238241Z,1793,1386,552,0.003004
lmsys_0000094,llama-2-70b,palm-2,model_a,German,2026-05-26T14:55:38.238241Z,561,679,981,9.7e-05
lmsys_0000095,davinci-003,gpt-4-turbo,tie,English,2026-05-18T05:49:41.238241Z,1526,510,226,0.001833
lmsys_0000096,gpt-3.5-turbo,claude-3-5-sonnet,model_a,Spanish,2026-05-16T12:55:19.238241Z,1516,1419,260,0.00054
lmsys_0000097,palm-2,claude-3-5-sonnet,model_a,Spanish,2026-05-23T07:26:57.238241Z,211,709,870,0.003045
lmsys_0000098,palm-2,gpt-4-turbo,model_a,Japanese,2026-05-23T23:54:26.238241Z,1427,678,693,0.002292
lmsys_0000099,gpt-4-turbo,claude-3-opus,model_a,Spanish,2026-06-09T05:43:33.238241Z,435,30,441,0.001651
lmsys_0000100,claude-3-opus,gemini-pro,model_b,Japanese,2026-06-03T04:47:39.238241Z,1648,89,629,0.001432
lmsys_0000101,gpt-4-turbo,claude-3-5-sonnet,model_a,English,2026-05-28T06:52:38.238241Z,520,1190,387,0.003438
lmsys_0000102,gpt-4,claude-3-opus,tie,Spanish,2026-05-29T11:56:54.238241Z,770,128,709,0.003018
lmsys_0000103,llama-2-70b,claude-3-5-sonnet,model_a,Spanish,2026-05-14T04:09:30.238241Z,982,868,804,5.1e-05
lmsys_0000104,gpt-4-turbo,gemini-pro,model_b,Spanish,2026-05-17T00:14:27.238241Z,1007,200,402,0.001246
lmsys_0000105,gemini-pro,mistral-large,model_b,English,2026-05-26T17:32:02.238241Z,1402,739,831,3.4e-05
lmsys_0000106,gpt-4-turbo,gpt-4,tie,French,2026-05-18T03:50:40.238241Z,1251,806,607,0.00126
lmsys_0000107,palm-2,gpt-4-turbo,model_a,German,2026-06-05T22:55:36.238241Z,1761,345,739,0.001053
lmsys_0000108,davinci-003,llama-2-70b,tie,French,2026-05-15T17:03:47.238241Z,180,1418,456,0.001245
lmsys_0000109,claude-3-opus,gpt-3.5-turbo,model_a,English,2026-05-26T00:18:26.238241Z,1754,447,881,0.004705
lmsys_0000110,claude-3-opus,gpt-4-turbo,model_a,Japanese,2026-05-21T06:07:08.238241Z,428,558,422,0.005456
lmsys_0000111,mistral-large,gpt-3.5-turbo,tie,Japanese,2026-05-24T06:55:22.238241Z,1576,1103,429,0.000654
lmsys_0000112,claude-3-5-sonnet,gpt-3.5-turbo,model_a,Chinese,2026-05-26T17:30:09.238241Z,1449,708,558,0.004497
lmsys_0000113,davinci-003,gpt-4-turbo,model_a,Chinese,2026-05-25T07:18:53.238241Z,384,1408,666,0.002764
lmsys_0000114,gpt-3.5-turbo,gpt-4-turbo,model_a,Japanese,2026-05-27T03:18:47.238241Z,716,274,351,0.000701
lmsys_0000115,gemini-pro,gpt-4,model_a,Spanish,2026-06-08T12:26:13.238241Z,1052,817,636,0.001519
lmsys_0000116,gpt-4-turbo,davinci-003,model_a,Japanese,2026-06-01T15:41:21.238241Z,258,739,503,0.002677
lmsys_0000117,mistral-large,davinci-003,model_b,German,2026-05-31T07:48:27.238241Z,1844,12,696,0.001178
lmsys_0000118,gemini-pro,claude-3-opus,tie,Japanese,2026-05-22T01:48:00.238241Z,1993,561,681,0.002994
lmsys_0000119,gemini-pro,claude-3-5-sonnet,model_a,French,2026-06-10T12:17:54.238241Z,1134,1080,485,0.001806
lmsys_0000120,gemini-pro,mistral-large,model_a,English,2026-05-25T23:13:14.238241Z,601,822,769,0.002258
lmsys_0000121,gemini-pro,gpt-3.5-turbo,model_a,Japanese,2026-05-28T14:08:36.238241Z,505,1200,305,0.001437
lmsys_0000122,mistral-large,claude-3-5-sonnet,model_a,French,2026-05-31T04:54:59.238241Z,548,912,1393,9.5e-05
lmsys_0000123,llama-2-70b,davinci-003,model_a,French,2026-06-05T04:38:33.238241Z,1565,661,1198,8e-05
lmsys_0000124,claude-3-5-sonnet,gpt-4,model_a,Spanish,2026-05-18T08:29:03.238241Z,83,497,770,0.004817
lmsys_0000125,gpt-4,mistral-large,model_a,English,2026-06-06T20:41:09.238241Z,271,1235,463,0.005495
lmsys_0000126,claude-3-5-sonnet,llama-2-70b,model_b,English,2026-05-16T04:31:00.238241Z,519,1204,908,3e-05
lmsys_0000127,gpt-4-turbo,gemini-pro,model_a,English,2026-05-30T00:05:45.238241Z,430,1136,616,0.001378
lmsys_0000128,gemini-pro,claude-3-5-sonnet,model_a,Chinese,2026-05-25T09:29:15.238241Z,271,314,703,0.002179
lmsys_0000129,davinci-003,llama-2-70b,model_b,Chinese,2026-05-27T10:24:09.238241Z,1419,1500,1230,5.7e-05
lmsys_0000130,claude-3-opus,palm-2,model_b,Spanish,2026-05-30T23:05:37.238241Z,1961,1279,368,0.001171
lmsys_0000131,gpt-4,palm-2,tie,German,2026-05-13T20:30:11.238241Z,520,129,358,0.001616
lmsys_0000132,mistral-large,davinci-003,tie,English,2026-05-13T03:44:40.238241Z,1546,56,1182,5.5e-05
lmsys_0000133,gpt-3.5-turbo,llama-2-70b,model_a,French,2026-06-02T05:03:31.238241Z,1178,531,231,0.00052
lmsys_0000134,llama-2-70b,davinci-003,model_a,German,2026-05-19T00:21:20.238241Z,1458,413,1584,5e-05
lmsys_0000135,palm-2,davinci-003,tie,Spanish,2026-06-03T12:35:17.238241Z,576,605,633,0.002246
lmsys_0000136,gpt-3.5-turbo,llama-2-70b,tie,German,2026-05-25T01:56:22.238241Z,1610,26,216,0.001325
lmsys_0000137,gpt-4-turbo,palm-2,model_a,Japanese,2026-06-10T02:42:09.238241Z,1684,145,400,0.004099
lmsys_0000138,gpt-4-turbo,gpt-3.5-turbo,model_b,French,2026-05-23T03:41:05.238241Z,965,845,473,0.0011
lmsys_0000139,gpt-4,gpt-3.5-turbo,tie,Chinese,2026-05-24T13:32:45.238241Z,610,85,366,0.000659
lmsys_0000140,mistral-large,gpt-4-turbo,model_a,French,2026-05-22T22:14:05.238241Z,940,565,1217,3.1e-05
lmsys_0000141,llama-2-70b,gpt-4-turbo,tie,German,2026-06-01T12:22:10.238241Z,1691,1351,1823,5.5e-05
lmsys_0000142,claude-3-opus,gemini-pro,model_b,German,2026-05-25T22:42:34.238241Z,672,815,735,0.001197
lmsys_0000143,claude-3-5-sonnet,llama-2-70b,tie,Spanish,2026-05-25T15:18:12.238241Z,48,19,607,0.003024
lmsys_0000144,claude-3-5-sonnet,gpt-4,tie,English,2026-06-11T11:32:55.238241Z,258,826,528,0.004038
lmsys_0000145,gpt-4-turbo,claude-3-5-sonnet,tie,German,2026-06-08T14:49:15.238241Z,858,766,541,0.002102
lmsys_0000146,mistral-large,davinci-003,model_a,Chinese,2026-05-23T13:02:43.238241Z,771,1156,1049,4.5e-05
lmsys_0000147,gpt-4-turbo,palm-2,model_a,English,2026-06-06T04:11:14.238241Z,1891,754,292,0.00382
lmsys_0000148,gpt-3.5-turbo,mistral-large,model_b,French,2026-06-01T15:38:29.238241Z,247,1349,911,5.9e-05
lmsys_0000149,gpt-3.5-turbo,gpt-4,model_a,Chinese,2026-06-03T08:53:30.238241Z,237,358,395,0.000703
lmsys_0000150,palm-2,mistral-large,model_a,Chinese,2026-05-30T23:03:45.238241Z,1100,737,790,0.003829
lmsys_0000151,claude-3-5-sonnet,palm-2,tie,English,2026-06-09T12:58:01.238241Z,1701,486,663,0.002861
lmsys_0000152,gemini-pro,claude-3-opus,tie,German,2026-05-25T07:10:25.238241Z,811,60,601,0.005378
lmsys_0000153,mistral-large,gemini-pro,model_a,Japanese,2026-05-24T21:29:45.238241Z,1152,957,1384,7.3e-05
lmsys_0000154,gpt-3.5-turbo,davinci-003,tie,Spanish,2026-06-03T16:45:05.238241Z,1914,433,449,0.001568
lmsys_0000155,claude-3-opus,davinci-003,model_b,Spanish,2026-06-02T10:45:41.238241Z,495,622,646,0.001905
lmsys_0000156,claude-3-opus,claude-3-5-sonnet,tie,Chinese,2026-06-11T15:02:32.238241Z,825,799,528,0.00382
lmsys_0000157,gpt-3.5-turbo,gemini-pro,model_b,French,2026-05-21T13:06:44.238241Z,469,629,756,0.002653
lmsys_0000158,gpt-4,mistral-large,model_b,Spanish,2026-05-18T06:52:40.238241Z,719,188,1076,0.0001
lmsys_0000159,llama-2-70b,mistral-large,model_a,Spanish,2026-05-27T10:21:37.238241Z,460,363,706,7.6e-05
lmsys_0000160,gemini-pro,mistral-large,model_b,Chinese,2026-05-17T20:36:37.238241Z,1105,1007,1411,5.5e-05
lmsys_0000161,mistral-large,davinci-003,model_b,French,2026-06-03T20:40:51.238241Z,155,1299,359,0.001083
lmsys_0000162,claude-3-5-sonnet,mistral-large,tie,French,2026-05-28T16:22:39.238241Z,736,505,367,0.001737
lmsys_0000163,gpt-4,mistral-large,model_b,French,2026-05-21T22:48:23.238241Z,1151,849,579,5.6e-05
lmsys_0000164,mistral-large,claude-3-opus,model_a,Japanese,2026-05-17T17:22:58.238241Z,44,468,1202,6.3e-05
lmsys_0000165,davinci-003,gemini-pro,tie,German,2026-05-25T06:52:26.238241Z,1535,1049,588,0.002941
lmsys_0000166,gpt-4-turbo,davinci-003,model_a,French,2026-05-26T12:36:12.238241Z,1806,248,326,0.001988
lmsys_0000167,gpt-4-turbo,mistral-large,tie,English,2026-06-01T18:29:25.238241Z,1023,303,346,0.0018
lmsys_0000168,palm-2,gemini-pro,model_a,English,2026-06-03T15:41:16.238241Z,670,950,385,0.003062
lmsys_0000169,llama-2-70b,mistral-large,model_a,English,2026-06-03T18:26:25.238241Z,442,538,702,5.2e-05
lmsys_0000170,gemini-pro,claude-3-5-sonnet,model_a,French,2026-05-20T00:18:45.238241Z,1218,631,376,0.002315
lmsys_0000171,claude-3-5-sonnet,gpt-3.5-turbo,model_a,Chinese,2026-05-28T15:09:42.238241Z,917,34,790,0.004776
lmsys_0000172,claude-3-opus,claude-3-5-sonnet,model_b,French,2026-06-08T11:56:46.238241Z,1919,1244,357,0.004154
lmsys_0000173,gpt-4,llama-2-70b,model_a,Spanish,2026-05-28T04:14:42.238241Z,532,265,342,0.003941
lmsys_0000174,claude-3-opus,mistral-large,model_b,German,2026-05-21T04:41:55.238241Z,384,1098,952,7.6e-05
lmsys_0000175,claude-3-5-sonnet,gemini-pro,model_a,Chinese,2026-05-30T20:52:34.238241Z,395,419,588,0.003351
lmsys_0000176,gemini-pro,davinci-003,model_b,French,2026-05-22T16:46:03.238241Z,1192,332,215,0.002146
lmsys_0000177,gpt-3.5-turbo,davinci-003,model_b,Chinese,2026-06-08T17:04:05.238241Z,1215,1044,307,0.001626
lmsys_0000178,gpt-4,palm-2,tie,German,2026-05-30T15:47:48.238241Z,718,208,278,0.002419
lmsys_0000179,davinci-003,palm-2,tie,Japanese,2026-05-23T00:50:36.238241Z,499,1436,695,0.001342
lmsys_0000180,gpt-4-turbo,gpt-4,model_a,English,2026-05-16T23:09:09.238241Z,1577,1044,638,0.001018
lmsys_0000181,gpt-3.5-turbo,davinci-003,tie,Japanese,2026-05-28T07:52:45.238241Z,286,139,154,0.00153
lmsys_0000182,gemini-pro,gpt-3.5-turbo,model_b,Chinese,2026-06-07T08:28:45.238241Z,622,1366,220,0.001582
lmsys_0000183,mistral-large,claude-3-opus,tie,Japanese,2026-05-26T21:49:51.238241Z,82,52,456,0.002719
lmsys_0000184,davinci-003,gpt-4,model_b,Chinese,2026-05-31T01:47:20.238241Z,69,1433,535,0.009396
lmsys_0000185,claude-3-5-sonnet,llama-2-70b,tie,German,2026-06-07T14:58:07.238241Z,1653,401,937,3.8e-05
lmsys_0000186,mistral-large,llama-2-70b,tie,Japanese,2026-06-04T03:15:45.238241Z,103,1427,1807,2e-05
lmsys_0000187,palm-2,davinci-003,tie,Chinese,2026-06-04T04:11:26.238241Z,186,498,546,0.003065
lmsys_0000188,claude-3-5-sonnet,llama-2-70b,model_b,Spanish,2026-05-15T00:52:12.238241Z,1093,979,1758,1.1e-05
lmsys_0000189,davinci-003,gpt-4,tie,Chinese,2026-05-29T20:59:23.238241Z,659,175,351,0.004434
lmsys_0000190,gpt-4-turbo,gpt-4,model_b,German,2026-06-07T12:39:13.238241Z,184,499,513,0.006461
lmsys_0000191,gpt-3.5-turbo,gpt-4-turbo,model_b,German,2026-06-12T03:29:47.238241Z,644,435,343,0.003338
lmsys_0000192,gemini-pro,gpt-4,tie,German,2026-05-24T09:17:27.238241Z,1053,369,450,0.000549
lmsys_0000193,davinci-003,palm-2,model_a,German,2026-06-02T01:13:11.238241Z,1346,1121,304,0.001095
lmsys_0000194,palm-2,gpt-4,tie,Japanese,2026-05-27T06:42:17.238241Z,1479,255,810,0.0037
lmsys_0000195,gpt-3.5-turbo,gpt-4,tie,French,2026-05-18T10:06:44.238241Z,621,110,413,0.008409
lmsys_0000196,llama-2-70b,mistral-large,model_a,Spanish,2026-05-21T09:15:16.238241Z,576,233,1652,2e-06
lmsys_0000197,mistral-large,gpt-3.5-turbo,model_b,English,2026-06-01T02:32:18.238241Z,1648,446,184,0.001699
lmsys_0000198,mistral-large,claude-3-opus,tie,Chinese,2026-06-11T23:50:39.238241Z,1551,683,804,5.4e-05
lmsys_0000199,claude-3-opus,davinci-003,model_a,Spanish,2026-05-31T06:11:40.238241Z,1673,1289,819,0.004662
lmsys_0000200,davinci-003,claude-3-5-sonnet,model_a,English,2026-05-25T08:25:19.238241Z,1181,304,516,0.001841
lmsys_0000201,mistral-large,gemini-pro,model_a,Spanish,2026-05-22T04:53:04.238241Z,166,498,1185,5.4e-05
lmsys_0000202,palm-2,llama-2-70b,model_a,French,2026-05-18T16:04:40.238241Z,36,118,437,0.002274
lmsys_0000203,davinci-003,llama-2-70b,tie,French,2026-05-19T02:41:54.238241Z,1332,278,209,0.001494
lmsys_0000204,mistral-large,gpt-4,tie,Chinese,2026-06-01T16:12:48.238241Z,334,150,1252,7.2e-05
lmsys_0000205,llama-2-70b,davinci-003,model_b,French,2026-05-14T18:58:34.238241Z,1385,612,368,0.002812
lmsys_0000206,gpt-3.5-turbo,gpt-4,tie,Chinese,2026-06-02T05:14:56.238241Z,205,1444,470,0.006073
lmsys_0000207,gpt-4,gemini-pro,tie,English,2026-06-05T18:26:14.238241Z,137,1444,471,0.003994
lmsys_0000208,gemini-pro,palm-2,tie,German,2026-05-28T08:59:35.238241Z,638,458,758,0.000676
lmsys_0000209,gpt-4-turbo,llama-2-70b,tie,German,2026-06-01T03:11:15.238241Z,446,910,639,0.003061
lmsys_0000210,claude-3-opus,palm-2,tie,German,2026-06-04T21:33:00.238241Z,1440,99,673,0.003724
lmsys_0000211,gpt-4,claude-3-opus,model_a,Spanish,2026-05-28T21:06:28.238241Z,727,1445,528,0.007224
lmsys_0000212,gemini-pro,claude-3-5-sonnet,model_a,Chinese,2026-05-27T13:28:12.238241Z,169,399,682,0.001054
lmsys_0000213,llama-2-70b,claude-3-5-sonnet,tie,German,2026-06-03T14:54:52.238241Z,947,255,1863,1.2e-05
lmsys_0000214,gemini-pro,gpt-4,tie,Chinese,2026-05-23T20:28:56.238241Z,1976,1484,500,0.000911
lmsys_0000215,gpt-3.5-turbo,mistral-large,model_b,French,2026-05-30T23:33:20.238241Z,578,577,853,9.7e-05
lmsys_0000216,gemini-pro,gpt-4-turbo,model_a,French,2026-06-07T00:51:56.238241Z,1505,1093,631,0.00151
lmsys_0000217,gpt-4-turbo,davinci-003,model_a,Spanish,2026-05-27T03:12:49.238241Z,520,358,511,0.002663
lmsys_0000218,llama-2-70b,gpt-3.5-turbo,model_a,English,2026-06-10T17:10:54.238241Z,1683,398,1969,1.7e-05
lmsys_0000219,palm-2,davinci-003,model_a,German,2026-06-03T06:25:12.238241Z,568,555,627,0.003495
lmsys_0000220,davinci-003,palm-2,model_b,Chinese,2026-05-31T06:07:09.238241Z,914,222,809,0.003366
lmsys_0000221,gpt-4,claude-3-5-sonnet,tie,Chinese,2026-05-18T04:09:45.238241Z,920,771,598,0.001323
lmsys_0000222,gpt-3.5-turbo,claude-3-5-sonnet,model_b,English,2026-05-13T15:35:36.238241Z,98,763,336,0.001558
